         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            29134137              49        13.61        13.61          666.89          921.69
            66992188              85        29.40        29.40         2499.00         2887.45
            80203561               4        28.03        28.03          112.12          131.56
            62963680              36        17.16        17.16          617.76          810.00
            60683021               2        18.36        18.36           36.72           47.50
            32216703              97        23.12        23.12         2242.64         2796.51
            59189425              89        22.54        22.54         2006.06         2441.27
            31641263              48        20.95        20.95         1005.60         1256.16
            14578137              41        16.99        16.99          696.59          872.07
            24955147             100        15.08        15.08         1508.00         2076.00
            27176633              51        12.76        12.76          650.76          827.22
            63706075              21        15.39        15.39          323.19          446.46
            36760711              52        18.94        18.94          984.88         1219.92
            54036898              68        10.71        10.71          728.28          937.04
            53741016              54        23.69        23.69         1279.26         1463.40
            49493175              39        14.55        14.55          567.45          742.17
            34549045               7        13.67        13.67           95.69          116.69
            81138617              46        15.15        15.15          696.90          908.96
            72247784              90        11.52        11.52         1036.80         1553.40
            56664402              75        12.40        12.40          930.00         1194.75
            19103941              66        25.55        25.55         1686.30         1900.14
            49559225              94        21.63        21.63         2033.22         2551.16
            52614745              37        22.62        22.62          836.94         1045.25
            52715440              86        16.72        16.72         1437.92         1724.30
            70178351               1        19.18        19.18           19.18           24.56
            74375297              31        12.28        12.28          380.68          564.51
            82011078              13        18.39        18.39          239.07          302.64
            75529079              28        29.27        29.27          819.56          926.24
            32913509              42        11.94        11.94          501.48          690.06
            61677125              39        27.05        27.05         1054.95         1270.23
            45136408               2        12.71        12.71           25.42           31.42
            43849621              22        20.16        20.16          443.52          524.04
            41818150              51        13.22        13.22          674.22          968.49
            16768461              35        10.07        10.07          352.45          534.80
            15276046              96        15.72        15.72         1509.12         1864.32
            43548519              44        13.50        13.50          594.00          745.80
            24467721               3        15.72        15.72           47.16           65.13
            38917581              77        26.47        26.47         2038.19         2392.39
            78039357              82        16.45        16.45         1348.90         1836.80
            49263193              93        29.39        29.39         2733.27         3244.77
            83391843              30        20.31        20.31          609.30          710.10
            66028170              21        17.59        17.59          369.39          494.97
            18870895              77        22.80        22.80         1755.60         2040.50
            65014865              54        28.95        28.95         1563.30         1851.12
            86012790               1        11.18        11.18           11.18           15.75
            47533952              96        11.85        11.85         1137.60         1515.84
            25725760              15        26.82        26.82          402.30          482.55
            17461679              54        10.76        10.76          581.04          903.96
            76076746              64        15.72        15.72         1006.08         1234.56
            37761798              48        13.31        13.31          638.88          862.56
            16224831              41        11.63        11.63          476.83          675.27
            86578282              36        29.59        29.59         1065.24         1206.36
            62839762              93        14.75        14.75         1371.75         1877.67
            26383509              27        22.91        22.91          618.57          733.05
            31187804              66        20.23        20.23         1335.18         1680.36
            50295179              88        23.09        23.09         2031.92         2472.80
            69384947              99        12.41        12.41         1228.59         1658.25
            56886748              18        24.94        24.94          448.92          556.56
            37055841              87        19.81        19.81         1723.47         2127.15
            75630018              41        10.08        10.08          413.28          642.88
            73831091              86        25.67        25.67         2207.62         2597.20
            62111634               1        16.41        16.41           16.41           19.97
            79900665              22        21.35        21.35          469.70          549.78
            57630177              38        26.52        26.52         1007.76         1132.78
            60123854              80        22.90        22.90         1832.00         2107.20
            35537534              60        27.18        27.18         1630.80         1929.60
            88563106              11        11.74        11.74          129.14          176.11
            39941194              44        19.12        19.12          841.28         1026.52
            75724437              74        23.26        23.26         1721.24         1988.38
            77086936              79        19.91        19.91         1572.89         2038.99
            77430412              70        29.20        29.20         2044.00         2411.50
            53016903              16        11.19        11.19          179.04          252.64
            50536431              89        26.48        26.48         2356.72         2668.22
            79170842              16        29.59        29.59          473.44          556.00
            72874936               5        18.34        18.34           91.70          114.80
            15555649              71        18.67        18.67         1325.57         1567.68
            15963630               5        29.36        29.36          146.80          164.65
            11587650              37        10.76        10.76          398.12          552.04
            50040763              32        14.71        14.71          470.72          640.64
            67317709              16        10.27        10.27          164.32          240.48
            29691501              57        22.78        22.78         1298.46         1611.96
            71529535              21        27.36        27.36          574.56          651.84
            76147512              40        24.26        24.26          970.40         1096.00
            68740451               3        10.94        10.94           32.82           48.42
            29022294              63        14.43        14.43          909.09         1148.49
            35342162              75        29.91        29.91         2243.25         2598.75
            38944334              93        13.73        13.73         1276.89         1721.43
            77435552              39        12.08        12.08          471.12          675.87
            31081490               1        20.71        20.71           20.71           24.06
            19121129              99        11.37        11.37         1125.63         1469.16
            66125098              44        22.44        22.44          987.36         1250.04
            32895121              61        28.99        28.99         1768.39         1986.77
            77086674              85        18.06        18.06         1535.10         2029.80
            85598406              64        10.32        10.32          660.48          903.68
            74877073              90        19.64        19.64         1767.60         2038.50
            57667879              22        16.21        16.21          356.62          484.88
            56411306              64        10.97        10.97          702.08         1064.96
            53904146              33        29.37        29.37          969.21         1162.26
            28166727               8        17.58        17.58          140.64          186.72
            79195238              21        11.38        11.38          238.98          333.06
            12880478              18        24.61        24.61          442.98          543.60
            58485457               5        23.64        23.64          118.20          140.90
            69358897              32        23.73        23.73          759.36          919.36
            32945551              21        21.25        21.25          446.25          548.10
            71387635              81        14.74        14.74         1193.94         1451.52
            60410146              21        26.93        26.93          565.53          679.14
            29257517              83        10.76        10.76          893.08         1156.19
            58759637              78        15.20        15.20         1185.60         1420.38
            32728517              82        15.43        15.43         1265.26         1605.56
            71852096              57        26.92        26.92         1534.44         1750.47
            76502369               7        12.35        12.35           86.45          115.29
            53972005              43        22.81        22.81          980.83         1225.93
            67167784               7        20.82        20.82          145.74          168.56
            18977685              81        16.39        16.39         1327.59         1649.16
            28458648              97        19.67        19.67         1907.99         2204.81
            24388225              28        17.90        17.90          501.20          633.92
            28232368              63        19.07        19.07         1201.41         1510.74
            69855441              96        15.56        15.56         1493.76         1801.92
            14375908              58        15.24        15.24          883.92         1152.46
            64853503              41        12.51        12.51          512.91          689.62
            74497902              82        20.00        20.00         1640.00         1903.22
            80101956              97        23.40        23.40         2269.80         2740.25
            44735928               9        27.18        27.18          244.62          285.84
            37413158              28        28.57        28.57          799.96          933.52
            71912539               9        13.96        13.96          125.64          173.25
            79065482              77        15.63        15.63         1203.51         1627.01
            81912584              99        26.86        26.86         2659.14         3162.06
            88550476              20        21.62        21.62          432.40          497.20
            88304184              84        18.55        18.55         1558.20         1943.76
            57739204               1        23.02        23.02           23.02           27.52
            61965647              88        24.88        24.88         2189.44         2554.64
            75268158              29        13.03        13.03          377.87          546.36
            34171236              19        24.01        24.01          456.19          556.51
            38334221               7        26.57        26.57          185.99          224.42
            60360685              42        28.86        28.86         1212.12         1391.88
            84623811               2        15.66        15.66           31.32           41.80
            30174319              22        29.51        29.51          649.22          735.46
            66314342              42        21.79        21.79          915.18         1158.36
            53717044              66        16.04        16.04         1058.64         1358.94
            88491828              34        29.57        29.57         1005.38         1164.16
            37195393              94        25.99        25.99         2443.06         2817.18
            35631998              79        25.89        25.89         2045.31         2335.24
            33686751              46        20.10        20.10          924.60         1092.04
            41555059              44        27.38        27.38         1204.72         1450.68
            47553915              25        19.60        19.60          490.00          631.00
            85699860              21        20.28        20.28          425.88          490.77
            62283911               7        15.50        15.50          108.50          147.77
            44481271              78        27.03        27.03         2108.34         2512.38
            41610696               9        14.03        14.03          126.27          155.70
            59333352              73        25.88        25.88         1889.24         2148.39
            40160899              46        10.83        10.83          498.18          668.38
            40749682              96        14.45        14.45         1387.20         1872.00
            68324629               6        24.98        24.98          149.88          183.66
            56044625              77        26.84        26.84         2066.68         2310.00
            17559533              50        24.91        24.91         1245.50         1528.50
            14698138              39        15.68        15.68          611.52          822.12
            66910032              10        12.87        12.87          128.70          171.10
            39421903              19        10.45        10.45          198.55          309.51
            54404663              50        25.23        25.23         1261.50         1458.00
            44560715              50        13.19        13.19          659.50          883.50
            76076746              64        15.72        15.72         1006.08         1234.56
            17103483              86        24.10        24.10         2072.60         2352.96
            49336268              99        15.02        15.02         1486.98         1832.49
            78122228              85        13.73        13.73         1167.05         1576.75
            31803679              94        23.14        23.14         2175.16         2501.34
            86232263              80        11.06        11.06          884.80         1194.40
            76427814              70        21.25        21.25         1487.50         1705.20
            80203561               4        28.03        28.03          112.12          131.56
            72216160               2        10.67        10.67           21.34           29.44
            33429908              40        26.09        26.09         1043.60         1205.60
            56886748              18        24.94        24.94          448.92          556.56
            34307586              41        18.20        18.20          746.20          989.74
            35262107               8        14.46        14.46          115.68          159.28
            83980353              56        20.50        20.50         1148.00         1455.44
            61130267              34        10.88        10.88          369.92          487.56
            60360685              42        28.86        28.86         1212.12         1391.88
            37303335              98        14.00        14.00         1372.00         1865.92
            33429908              40        26.09        26.09         1043.60         1205.60
            75799058              31        25.89        25.89          802.59          953.25
            66028170              21        17.59        17.59          369.39          494.97
            38561693              47        18.00        18.00          846.00         1034.00
            57739204               1        23.02        23.02           23.02           27.52
            56953445              35        21.16        21.16          740.60          904.75
            35631998              79        25.89        25.89         2045.31         2335.24
            57301383              68        15.52        15.52         1055.36         1459.28
            18982295              44        21.43        21.43          942.92         1131.24
            43416112              72        25.53        25.53         1838.16         2060.64
            85941566              18        21.95        21.95          395.10          486.00
            49996948              32        21.50        21.50          688.00          852.48
            65915441              71        18.19        18.19         1291.49         1704.71
            47553915              25        19.60        19.60          490.00          631.00
            77514121              29        23.08        23.08          669.32          765.02
            28342656               2        26.18        26.18           52.36           61.64
            36020570              22        15.27        15.27          335.94          435.16
            62481686              38        27.38        27.38         1040.44         1183.70
            31917171              58        23.27        23.27         1349.66         1582.82
            49045379              25        14.14        14.14          353.50          476.00
            54366510              24        13.73        13.73          329.52          445.92
            87553231              70        23.79        23.79         1665.30         1974.00
            42145649              30        19.23        19.23          576.90          747.00
            38932471              34        12.93        12.93          439.62          589.22
            39347416              68        18.06        18.06         1228.08         1610.24
            67317709              16        10.27        10.27          164.32          240.48
            69865581              94        21.26        21.26         1998.44         2486.30
            50019335              63        18.86        18.86         1188.18         1451.52
            85699185              26        13.43        13.43          349.18          499.98
            31665020              26        15.76        15.76          409.76          488.28
            24388225              28        17.90        17.90          501.20          633.92
            41610696               9        14.03        14.03          126.27          155.70
            60716308              47        20.86        20.86          980.42         1258.66
            23842706              77        10.92        10.92          840.84         1119.58
            24955147             100        15.08        15.08         1508.00         2076.00
            32827437               8        20.49        20.49          163.92          197.84
            54221156              93        13.04        13.04         1212.72         1685.16
            11531675              85        10.99        10.99          934.15         1369.35
            85598406              64        10.32        10.32          660.48          903.68
            46182485              57        11.19        11.19          637.83          896.61
            23375463              13        15.85        15.85          206.05          261.95
            17461679              54        10.76        10.76          581.04          903.96
            30739126              14        27.83        27.83          389.62          466.06
            81735019              16        25.51        25.51          408.16          502.88
            43151607              65        13.59        13.59          883.35         1245.40
            21094940              53        12.59        12.59          667.27          917.43
            32827437               8        20.49        20.49          163.92          197.84
            44137228              61        23.26        23.26         1418.86         1675.06
            77465093              70        16.94        16.94         1185.80         1598.10
            62963680              36        17.16        17.16          617.76          810.00
            27240862              43        28.12        28.12         1209.16         1345.04
            18659990              43        15.01        15.01          645.43          892.68
            31641263              48        20.95        20.95         1005.60         1256.16
            54221156              93        13.04        13.04         1212.72         1685.16
            47578754              90        26.20        26.20         2358.00         2739.60
            50743173              92        24.91        24.91         2291.72         2728.72
            77430412              70        29.20        29.20         2044.00         2411.50
            75724437              74        23.26        23.26         1721.24         1988.38
            74543762              61        12.57        12.57          766.77         1028.46
            16618211              24        17.44        17.44          418.56          498.72
            27972823              12        28.73        28.73          344.76          386.04
            39421903              19        10.45        10.45          198.55          309.51
            51138886              14        29.87        29.87          418.18          482.30
            68740451               3        10.94        10.94           32.82           48.42
            29257517              83        10.76        10.76          893.08         1156.19
            76147512              40        24.26        24.26          970.40         1096.00
            43941327              31        12.59        12.59          390.29          512.74
            74435780              64        24.09        24.09         1541.76         1893.12
            77643941              27        13.18        13.18          355.86          448.74
            83762728              45        22.25        22.25         1001.25         1138.95
            79490708              84        10.37        10.37          871.08         1281.00
            81379037              14        27.74        27.74          388.36          441.84
            14947415              10        16.17        16.17          161.70          211.00
            25725760              15        26.82        26.82          402.30          482.55
            40036792              65        17.31        17.31         1125.15         1505.40
            31353041              28        21.82        21.82          610.96          774.76
            71327423              62        27.16        27.16         1683.92         1969.74
            22662424               1        11.84        11.84           11.84           15.28
            84001619               3        20.58        20.58           61.74           73.44
            78039357              82        16.45        16.45         1348.90         1836.80
            55396347              65        12.49        12.49          811.85         1172.60
            11303142              47        10.56        10.56          496.32          768.45
            52715440              86        16.72        16.72         1437.92         1724.30
            57630177              38        26.52        26.52         1007.76         1132.78
            22971931              40        17.84        17.84          713.60          943.60
            81946005              22        19.90        19.90          437.80          534.38
            37511487              37        25.77        25.77          953.49         1122.58
            59802180              33        13.26        13.26          437.58          587.07
            29134137              49        13.61        13.61          666.89          921.69
            78407458               4        16.28        16.28           65.12           85.32
            58782510              80        21.90        21.90         1752.00         2039.20
            59802180              33        13.26        13.26          437.58          587.07
            35390230              73        26.80        26.80         1956.40         2335.27
            69384947              99        12.41        12.41         1228.59         1658.25
            58038988              62        13.42        13.42          832.04         1096.78
            11587650              37        10.76        10.76          398.12          552.04
            55000517              95        11.84        11.84         1124.80         1459.20
            18870895              77        22.80        22.80         1755.60         2040.50
            13174473              91        29.75        29.75         2707.25         3246.88
            84777768              66        11.40        11.40          752.40          958.98
            85941566              18        21.95        21.95          395.10          486.00
            71327423              62        27.16        27.16         1683.92         1969.74
            57978117              10        28.15        28.15          281.50          336.10
            21390393              99        10.14        10.14         1003.86         1394.91
            49336268              99        15.02        15.02         1486.98         1832.49
            14698138              39        15.68        15.68          611.52          822.12
            42770709              50        12.19        12.19          609.50          772.00
            58609625               1        23.58        23.58           23.58           27.78
            55842246              48        15.98        15.98          767.04         1028.64
            49493175              39        14.55        14.55          567.45          742.17
            24467721               3        15.72        15.72           47.16           65.13
            82887766              39        16.82        16.82          655.98          840.45
            83234292              26        23.80        23.80          618.80          760.24
            40299841              50        28.50        28.50         1425.00         1594.50
            61299263              98        29.11        29.11         2852.78         3234.98
            63798705              29        25.13        25.13          728.77          894.65
            59474045              55        11.99        11.99          659.45          919.60
            15431795              95        15.33        15.33         1456.35         1819.25
            56884152               4        15.70        15.70           62.80           85.04
            49142030              36        23.15        23.15          833.40         1008.36
            44137228              61        23.26        23.26         1418.86         1675.06
            80767659              23        26.89        26.89          618.47          733.24
            60716308              47        20.86        20.86          980.42         1258.66
            58339617              68        13.73        13.73          933.64         1272.96
            72247784              90        11.52        11.52         1036.80         1553.40
            46621097              48        26.37        26.37         1265.76         1432.32
            56664402              75        12.40        12.40          930.00         1194.75
            36386359              60        12.09        12.09          725.40         1032.60
            27270146              81        23.52        23.52         1905.12         2239.65
            29022294              63        14.43        14.43          909.09         1148.49
            85466608              62        12.70        12.70          787.40          999.44
            36733364              69        29.72        29.72         2050.68         2455.71
            64002588              59        20.18        20.18         1190.62         1441.96
            77086674              85        18.06        18.06         1535.10         2029.80
            64349453              14        18.46        18.46          258.44          333.76
            49559225              94        21.63        21.63         2033.22         2551.16
            83361455              50        10.14        10.14          507.00          803.50
            47533952              96        11.85        11.85         1137.60         1515.84
            17358405              66        15.82        15.82         1044.12         1391.28
            62839762              93        14.75        14.75         1371.75         1877.67
            18398033              13        29.16        29.16          379.08          418.86
            13045439              80        20.24        20.24         1619.20         1920.00
            34763532              86        15.68        15.68         1348.48         1820.62
            79170842              16        29.59        29.59          473.44          556.00
            31650412              77        28.82        28.82         2219.14         2497.11
            49300488              61        10.69        10.69          652.09          993.08
            50036717               8        24.69        24.69          197.52          229.84
            78907535              46        22.91        22.91         1053.86         1256.72
            43777863              67        16.83        16.83         1127.61         1380.20
            51080942              56        23.57        23.57         1319.92         1629.04
            54366510              24        13.73        13.73          329.52          445.92
            59128090              11        16.39        16.39          180.29          221.32
            39458442              23        20.49        20.49          471.27          599.38
            86457838              45        22.84        22.84         1027.80         1163.70
            40095023              62        18.63        18.63         1155.06         1507.22
            65014865              54        28.95        28.95         1563.30         1851.12
            21314622              60        18.99        18.99         1139.40         1451.40
            52392582              78        16.69        16.69         1301.82         1584.18
            73324460              35        13.12        13.12          459.20          651.00
            44493871              38        21.74        21.74          826.12          945.44
            40171345              51        17.93        17.93          914.43         1074.06
            78023688              28        29.67        29.67          830.76          991.48
            49052689              79        23.14        23.14         1828.06         2186.72
            58759637              78        15.20        15.20         1185.60         1420.38
            81379037              14        27.74        27.74          388.36          441.84
            75541722              78        22.80        22.80         1778.40         2025.66
            72874936               5        18.34        18.34           91.70          114.80
            81296480              90        25.59        25.59         2303.10         2801.70
            52968876              99        11.77        11.77         1165.23         1744.38
            40036792              65        17.31        17.31         1125.15         1505.40
            43436020              40        25.86        25.86         1034.40         1239.60
            68849001              21        11.90        11.90          249.90          326.76
            18422552             100        22.06        22.06         2206.00         2726.00
            60027243              72        19.48        19.48         1402.56         1794.96
            15555649              71        18.67        18.67         1325.57         1567.68
            13174473              91        29.75        29.75         2707.25         3246.88
            88550476              20        21.62        21.62          432.40          497.20
            64418724               9        21.15        21.15          190.35          226.98
            58485457               5        23.64        23.64          118.20          140.90
            47296985               1        10.99        10.99           10.99           15.81
            79891110               8        10.47        10.47           83.76          129.20
            46132369              64        28.23        28.23         1806.72         2069.76
            66910032              10        12.87        12.87          128.70          171.10
            82887766              39        16.82        16.82          655.98          840.45
            62481686              38        27.38        27.38         1040.44         1183.70
            58810322               4        19.17        19.17           76.68          100.12
            46738486              38        14.87        14.87          565.06          738.72
            14599689              68        21.52        21.52         1463.36         1805.40
            71529535              21        27.36        27.36          574.56          651.84
            80084832              35        23.91        23.91          836.85         1007.65
            45136408               2        12.71        12.71           25.42           31.42
            60410146              21        26.93        26.93          565.53          679.14
            44603982              11        14.04        14.04          154.44          207.57
            36473623              16        15.21        15.21          243.36          318.24
            70401508              98        28.82        28.82         2824.36         3335.92
            75630018              41        10.08        10.08          413.28          642.88
            30174319              22        29.51        29.51          649.22          735.46
            50317035              30        22.64        22.64          679.20          770.40
            12880478              18        24.61        24.61          442.98          543.60
            28342656               2        26.18        26.18           52.36           61.64
            22877827               6        16.46        16.46           98.76          127.14
            79490708              84        10.37        10.37          871.08         1281.00
            49265048              58        13.50        13.50          783.00         1096.20
            55344433              71        29.00        29.00         2059.00         2438.85
            38334221               7        26.57        26.57          185.99          224.42
            55371335              27        18.18        18.18          490.86          634.50
            78407458               4        16.28        16.28           65.12           85.32
            78629863               8        24.51        24.51          196.08          226.48
            33686751              46        20.10        20.10          924.60         1092.04
            17692750              97        18.54        18.54         1798.38         2256.22
            22217524              54        10.94        10.94          590.76          840.24
            77086936              79        19.91        19.91         1572.89         2038.99
            61677125              39        27.05        27.05         1054.95         1270.23
            71733835              17        22.36        22.36          380.12          436.39
            79902221              71        22.07        22.07         1566.97         1821.86
            72874936               5        18.34        18.34           91.70          114.80
            80437590              89        12.47        12.47         1109.83         1575.30
            77435552              39        12.08        12.08          471.12          675.87
            16768461              35        10.07        10.07          352.45          534.80
            81138617              46        15.15        15.15          696.90          908.96
            20766559              15        17.28        17.28          259.20          328.20
            84001619               3        20.58        20.58           61.74           73.44
            16618211              24        17.44        17.44          418.56          498.72
            82701870              86        10.09        10.09          867.74         1309.78
            79153401              57        24.13        24.13         1375.41         1552.68
            66028170              21        17.59        17.59          369.39          494.97
            57978117              10        28.15        28.15          281.50          336.10
            53904146              33        29.37        29.37          969.21         1162.26
            77435552              39        12.08        12.08          471.12          675.87
            11531675              85        10.99        10.99          934.15         1369.35
            53518629              69        11.66        11.66          804.54         1206.81
            87553231              70        23.79        23.79         1665.30         1974.00
            38072280              17        22.95        22.95          390.15          487.05
            43941327              31        12.59        12.59          390.29          512.74
            72660734              37        22.74        22.74          841.38         1006.03
            58045576              64        10.51        10.51          672.64         1036.80
            51138886              14        29.87        29.87          418.18          482.30
            35537534              60        27.18        27.18         1630.80         1929.60
            43051474              81        20.39        20.39         1651.59         2041.20
            68458253              17        18.28        18.28          310.76          362.44
            60123854              80        22.90        22.90         1832.00         2107.20
            54667311              34        13.30        13.30          452.20          591.60
            49265048              58        13.50        13.50          783.00         1096.20
            55473817              57        19.13        19.13         1090.41         1261.41
            52392582              78        16.69        16.69         1301.82         1584.18
            35390230              73        26.80        26.80         1956.40         2335.27
            31396612              63        15.52        15.52          977.76         1329.93
            19103941              66        25.55        25.55         1686.30         1900.14
            76427814              70        21.25        21.25         1487.50         1705.20
            40095023              62        18.63        18.63         1155.06         1507.22
            60360685              42        28.86        28.86         1212.12         1391.88
            34311148              62        12.77        12.77          791.74         1127.78
            36733364              69        29.72        29.72         2050.68         2455.71
            81138617              46        15.15        15.15          696.90          908.96
            32216703              97        23.12        23.12         2242.64         2796.51
            85466608              62        12.70        12.70          787.40          999.44
            37195393              94        25.99        25.99         2443.06         2817.18
            68849001              21        11.90        11.90          249.90          326.76
            23375463              13        15.85        15.85          206.05          261.95
            70178351               1        19.18        19.18           19.18           24.56
            79891110               8        10.47        10.47           83.76          129.20
            19784361               6        18.19        18.19          109.14          127.20
            80101956              97        23.40        23.40         2269.80         2740.25
            70692724               6        19.41        19.41          116.46          137.28
            81379037              14        27.74        27.74          388.36          441.84
            34850784              89        12.43        12.43         1106.27         1395.52
            15183855              18        24.59        24.59          442.62          536.40
            58759637              78        15.20        15.20         1185.60         1420.38
            41818150              51        13.22        13.22          674.22          968.49
            79065482              77        15.63        15.63         1203.51         1627.01
            65537294              64        21.96        21.96         1405.44         1764.48
            66992188              85        29.40        29.40         2499.00         2887.45
            77086674              85        18.06        18.06         1535.10         2029.80
            66992188              85        29.40        29.40         2499.00         2887.45
            50743173              92        24.91        24.91         2291.72         2728.72
            83637016              69        27.45        27.45         1894.05         2188.68
            37055841              87        19.81        19.81         1723.47         2127.15
            31641263              48        20.95        20.95         1005.60         1256.16
            46318094              53        13.39        13.39          709.67          993.22
            82258988              50        17.04        17.04          852.00         1038.00
            70811150              90        27.85        27.85         2506.50         3013.20
            57301383              68        15.52        15.52         1055.36         1459.28
            11303142              47        10.56        10.56          496.32          768.45
            66955027              45        26.73        26.73         1202.85         1394.55
            22877827               6        16.46        16.46           98.76          127.14
            15917508              81        28.92        28.92         2342.52         2588.76
            83740526              23        19.56        19.56          449.88          519.57
            18977685              81        16.39        16.39         1327.59         1649.16
            66698657              48        16.13        16.13          774.24         1047.84
            35262107               8        14.46        14.46          115.68          159.28
            76427814              70        21.25        21.25         1487.50         1705.20
            63706075              21        15.39        15.39          323.19          446.46
            26782989              32        17.16        17.16          549.12          669.76
            80955309               3        16.51        16.51           49.53           60.21
            13258730              62        19.61        19.61         1215.82         1549.38
            63758855              39        11.25        11.25          438.75          573.30
            74627727              31        23.93        23.93          741.83          869.86
